nacchoid	module	scity	sstate	simplepopsourcecode	popcat3	popcat5	popcat7	popcat8	popcat9	q1	q2	q14b	q14c	q15r	q16	q17a	q17ab	q17b	q17c	q17cd	q17d	q17e	q17f	q17g	q17h	q17i	q17j	q17k	q17l	q17m	q18	q19a	q19b	q19c	q20	q21	govcat	yearstenure	b_module	m1weight2	popcat2old	c1_lhd_name0	LHD_Org	Contact_Category	v008_Profile	FIPS_CY
MI048	module 2	Ypsilanti	MI	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	354947	12	2007	"$10,000,000+"	14672050	0	4971531	4971531	3033364	4844372	1811008	37310	967136	1500	0	0	355831	1380969	0	2113401	2	180000	120000	0	1	1.8	local	12.08					Washtenaw County Public Health Department	LHD	1	26161
MN084		Aitkin	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16758	1	2008	"$500,000-$999,999"	581540	0	350099	350099	49401	74635	25234	107484	53	11727	0	32580	4962	0	0	0	1	17297	11745	0		0.5	local	11.58					Aitkin County Health and Human Services	LHD	1	27001
MN002	module 1	Anoka	MN	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	339272	1	2007	"$10,000,000+"	10112214	0	3085080	3085080	1024063	1526267	502204	2033353	1907638	517734	0	19169	53166	969806	0	0	2	312996	127072	80326	1	4.75	local	17.67	1	3.88	"50,000+"	Anoka County Community Health and Environmental Service Department	Anoka County Community Health and Environmental Service Department	LHD	1	27003
MN033	module 3	Detroit Lakes	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	32481	1	2008	"$1,000,000-$4,999,999"	1240379																1	21045	21026	0	1	0.33	local	4.42					Becker County Human Services	LHD	1	27005
MN078		Bemidji	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	43575	12	2007	"$1,000,000-$4,999,999"	2415564	112696	281717	169021	759895	1209447	449552	0	653553	22461	0	82613	165773	0	0	0	2	41766	23465	0	0		local						Beltrami County Public Health Nursing Service	LHD	1	27007
MN076		Foley	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	39637	12	2007	"$500,000-$999,999"	847924	0	312755	312755	180295	471084	290789	0	42930	0	9465	0	11690	0	0	0	1	37558	21848	0	1	1.13	local	16.42					Benton County Human Services	LHD	1	27009
MN005	module 1	Mankato	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	61505	12	2007	"$1,000,000-$4,999,999"	1522392	0	213135	213135	411046	822092	411046	0	30448	0	0	426270	15223	0	0	15224	2	49828	22938	0	0		local	9.17	1	5.11	"50,000+"	Blue Earth County Public Health Nursing Service	Blue Earth County Public Health Nursing Service	LHD	1	27013
MN006	module 1	New Ulm	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26699	12	2007	"$1,000,000-$4,999,999"	1170000																2	24000	14000	0	1	0.25	local	35.92	1	6.66	"<50,000"	Brown County Public Health	Brown County Public Health	LHD	1	27015
MN008		Cloquet	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	34588	12	2007	"$1,000,000-$4,999,999"	2266933	0	255886	255886	200724	737277	536553	0	395088	648363	0	25740	12045	0	0	192534	1	33340	20236	0	1	1.5	local	3.67					Carlton County Public Health	LHD	1	27017
MN007	module 3	Chaska	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	93309	12	2007	"$1,000,000-$4,999,999"	604000																1				1	0.5	local	8.83					Carver County Community Health Services	LHD	1	27019
MN083		Walker	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	29824	12	2007	"$1,000,000-$4,999,999"	2343141	0	179904	179904	245873	320634	74761	508375	458974	619246	0	31993	40441	9575	0	173998	1	28109	77577	0	1	0.4	local	29.5					"Cass County Health, Human, and Veterans Services"	LHD	1	27021
MN010		Moorhead	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	56295	12	2007	"$1,000,000-$4,999,999"	3789955	0	1205456	1205456	293866	990205	696339	0	1059560	32742	268238	7400	187220	32074	0	7060	1	42773	27551	0	1	0.8	local						Clay County Public Health Department	LHD	1	27027
MN079		Bagley	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8600	1	2008	"$1,000,000-$4,999,999"	1667663	0	29246	29246	161608	193855	32247	784334	116227	178761	0	195904	45094	0	0	98118	1	18356	10684	0	1	0.22	local	5.58					Clearwater County Nursing Service	LHD	1	27029
MN025		Grand Marais	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	5749	1	2008	"<$500,000"	91531	0	65902	65902	5492	25629	20137	0	0	0	0	0	0	0	0	0	1				1	1	local	10.33					Cook County Public Health	LHD	1	27031
MN014	module 1	Brainerd	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	62837	1	2007	"$1,000,000-$4,999,999"	1527003	100653	100653	0	336276	481310	145034	395382	378346	67334	0	11990	74711	17279	0	0	2	58676	29916	0	1	1.2	local	5.83	1	5.11	"50,000+"	Crow Wing County Health Services	Crow Wing County Health Services	LHD	1	27035
MN015	module 1	West St. Paul	MN	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	410244	12	2007	"$10,000,000+"	13201214	0	4274677	4274677	285293				3600229	0	510709	375484	0	0	0	42950	1	378441	152073	97121	1	5.05	local	0.75	1	3.88	"50,000+"	Dakota County Public Health Department	Dakota County Public Health Department	LHD	1	27037
MN036		Mantorville	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20375	12	2007	"$500,000-$999,999"	679455																2	19121	14805	0	1	0.6	local	21.08					Dodge County Public Health	LHD	1	27039
MN017	module 2	Alexandria	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	37177	12	2007	"$1,000,000-$4,999,999"	3967292	120738	650876	530138	229216	584122	354906	0	1821271	644781	0	24531	12105	229606	0	0	2	34171	20554	0	1	0.45	local	7.17					Douglas County Public Health	LHD	1	27041
MN020	module 1	Preston	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	22208	12	2007	"$1,000,000-$4,999,999"	1281993	0	0	0	159772	196571	36799	188741	838382	23510	0	19507	53362	0	0	0	1	21101	15561	0	1	1	local	21	1	8.96	"<50,000"	Fillmore County Public Health	Fillmore County Public Health	LHD	1	27045
MN021	module 1	Albert Lea	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	32194	12	2007	"$1,000,000-$4,999,999"	1346380	0	256619	256619	192434	549271	356837	0	457624	50818	0	2880	20402	0	0	8766	2	23818	21100	0	1	0.62	local	15.92	1	6.66	"<50,000"	Freeborn County Public Health	Freeborn County Public Health	LHD	1	27047
MN022	module 1	Red Wing	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	47578	12	2007	"$1,000,000-$4,999,999"	3666092	0	977719	977719	191952	489485	297533	36426	1447512	60254	115868	12854	122725	198899	33006	171344	2	45126	24739	0	1	0.47	local	4.83	1	6.66	"<50,000"	Goodhue County Public Health Services	Goodhue County Public Health Services	LHD	1	27049
MN024	module 1	Minneapolis	MN	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	596494	12	2007	"$10,000,000+"	512959392	626105	212340896	211714792	104433768	248661542	144227774	5694483	34671264	288540	450049	1003794	3329463	996948	0	5522414	1	586466	231543	207608	1	8.9	local	10.75	1	3.64	"50,000+"	Hennepin County Human Services and Public Health	Hennepin County Human Services and Public Health	LHD	1	27053
MN040		Caledonia	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20289	1	2008	"$1,000,000-$4,999,999"	1259137	0	0	0	189217	312063	122846	35133	744542	83940	0	931	82528	0	0	0	1	19703	22470	0	1	1.2	local	2.08					Houston County Public Health	LHD	1	27055
MN080		Park Rapids	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19100	1	2008	"<$500,000"	463055	0	0	0	94413	133451	39038	172347	19352	0	0	0	13841	0	0	124064		18621	14614	0	1	0.4	local	1.75					St. Joseph's Area Health Services	LHD	1	27057
MN026		Cambridge	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40756	1	2007	"$1,000,000-$4,999,999"	1445930	0	288540	288540	148491	566536	418045	0	170389	0	75521	1919	5133	12412	0	325480	1	36070	21280	10003	1	1	local	12					Isanti County Public Health Services	LHD	1	27059
MN085	module 1	Grand Rapids	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	45109	1	2008	"$1,000,000-$4,999,999"	1629149	0	325081	325081	258900	355987	97087	326000	517800	16181	0	9100	52000	0	0	27000	1	45356	24226	0	1	0.7	local	10.08	1	6.66	"<50,000"	Itasca County Health and Human Services	Itasca County Health and Human Services	LHD	1	27061
MN060	module 2	Mora	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16805	12	2007	"$1,000,000-$4,999,999"	2500484	0	640311	640311	392159	969807	577648	60724	350481	281806	22934	61611	52152	0	0	60658	1	18356	13662	0	1	0.2	local	17.17					Kanabec County Public Health	LHD	1	27065
MN027	module 3	Willmar	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	42170	12	2007	"$1,000,000-$4,999,999"	2194766	0	373896	373896	190084	880915	690831	0	298855	90896	0	27368	23962	110510	0	388364	1	38538	21790	0	1	0.5	local	10.25					Kandiyohi County Public Health	LHD	1	27067
MN071		Hallock	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	4959	9	2007	"<$500,000"	108784																2	16520	8400	0	1	0.2	local	13.25					Kittson Memorial Home Healthcare	LHD	1	27069
MN086		International Falls	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	13876	12	2007	"$1,000,000-$4,999,999"	1082352	0	253710	253710	107707	364207	256500	0	201484	13294	28500	7870	47276	0	0	186717	1	17000	11000	0	1	0.3	local	27.17					Koochiching County Community Health	LHD	1	27071
MN061		Two Harbors	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11324	12	2007	"<$500,000"	350297	0	138070	138070	113389	113389	0	0	43540	0	2726	0	0	52563	0	0	1	10575	4203	0		0.15	local	7.17					Lake County Health Department	LHD	1	27075
MN063	module 2	Baudette	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	4546	12	2007	"$500,000-$999,999"	690225	0	30359	30359	78663	89252	10589	63945	228320	89100	0	31010	43760	0	0	114479	1	17646	8808	0	0		local	2.5					LakeWood Nursing Service	LHD	1	27077
MN050	module 3	Le Center	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	28223	12	2007	"$1,000,000-$4,999,999"	1761986	0	109684	109684	772066	1237407	465341	32658	304869	12820	0	4700	59848	0	0	0	2	27122	17861	0	1	0.25	local	4.58					Le Sueur County Public Health Nursing Service	LHD	1	27079
MN069	module 1	Glencoe	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	37927	12	2007	"$1,000,000-$4,999,999"	1049693	0	197262	197262	153259	367842	214583	348732	45269	0	18500	48568	23520	0	0	0	2	27055	27381	0	0		local	0.58	1	6.66	"<50,000"	McLeod County Public Health Nursing Service	McLeod County Public Health Nursing Service	LHD	1	27085
MN072		Warren	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9946	1	2008	"<$500,000"		0	28138	28138	56694	82936	26242	78949	26187	58094	0	5611	9170	0	0	16214							local	3.25					Marshall County Public Health Nursing Service	LHD	1	27089
MN070		Litchfield	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24350	12	2007	"$1,000,000-$4,999,999"	1122417	0	333029	333029	152200	426850	274650	35500	170000	0	0	750	0	0	0	156342	1	19207	16295	0	0		local	11.17					Meeker County Public Health Department	LHD	1	27093
MN031	module 3	Milaca	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26670	12	2007	"$500,000-$999,999"	690040	0	212762	212762	240525	365831	125306	30468	67790	0	0	431	12758	0	0	0	2	24922	15461	0	1	0.46	local	0.58					Mille Lacs County Public Health	LHD	1	27095
MN081	module 3	Little Falls	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	33915	12	2007	"$1,000,000-$4,999,999"	2166440	0	425014	425014	269799	652524	382725	0	696333	0	5999	25654	12970	166909	0	251038	1	29723	19887	0	1	0.98	local	0.75					Morrison County Public Health	LHD	1	27097
MN034	module 2	Austin	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	39251	12	2007	"$1,000,000-$4,999,999"	1379688	0	50529	50529	225267	759091	533824	0	51589	433983	0	0	20012	0	0	64484	1	33133	17789	0	1	0.75	local	17.5					Mower County Public Health Nursing Service	LHD	1	27099
MN064	module 3	St. Peter	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	32315	12	2007	"$1,000,000-$4,999,999"	1375214	29214	342832	313618	91288	354844	263556	0	292529	244985	0	4978	19945	115101	0	0	1	30770	19255	0	1	0.45	local	21.42					Nicollet County Public Health Nursing Service	LHD	1	27103
MN037		Worthington	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20151	1	2008	"$1,000,000-$4,999,999"	1384203	0	451462	451462	241158	626604	385446	0	22000	0	0	58910	500	46450	0	178277	2	36000	21710	0	1	1.5	local	2					Nobles-Rock Public Health Service	LHD	1	27105
MN038	module 1	Rochester	MN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	143833	12	2007	"$10,000,000+"	10499313	0	4948160	4948160	1118108	2488682	1370574	0	756026	139998	0	0	192985	0	0	1530542	1	132657	58178	0	1	1.9	local	13.08	1	4.47	"50,000+"	Olmsted County Public Health Services	Olmsted County Public Health Services	LHD	1	27109
MN039	module 2	Fergus Falls	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	58492	12	2007	"$1,000,000-$4,999,999"	2106929	0	478042	478042	523736	977585	453849	0	53114	19594	115000	325886	7000	0	0	130708	1	43660	31946	0	1	0.6	local	30.25					Otter Tail County Public Health	LHD	1	27111
MN077	module 1	Sandstone	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	28759	1	2008	"$500,000-$999,999"	980667	4435	313918	309483	234579	393517	158938	266444	0	0	0	0	6788	0	0	0	1	23921	17991	0	1	1	local	0.92	1	6.66	"<50,000"	Pine County Public Health	Pine County Public Health	LHD	1	27115
MN041		Crookston	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	31280	12	2007	"$1,000,000-$4,999,999"	1585465	0	445838	445838	233784	455321	221537	396672	35011	103105	0	15500	38681	0	0	95337	1	30716	19234	0	0	0	local	3.58					Polk County Public Health	LHD	1	27119
MN042	module 1	Glenwood	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11679	12	2007	"$500,000-$999,999"	934522	0	142076	142076	81930	217060	135130	0	234553	273882	0	22441	15060	3808	0	25642	1	17163	10438	0	1	0.4	local	18.92	1	8.96	"<50,000"	Pope County Health Department	Pope County Health Department	LHD	1	27121
MN044	module 2	Saint Paul	MN	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	518321	12	2007	"$10,000,000+"	48656324	0	27312506	27312506	4213201	13479408	9266207	939542	3993485	208	460041	135820	544316	1403833	0	387164	3	509175	202016	141293	1	6.5	local	20.33					St. Paul-Ramsey County Public Health Department	LHD	1	27123
MN046		Faribault	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	64563	12	2007	"$1,000,000-$4,999,999"	3047187	0	106767	106767	491310	803938	312628	0	1357116	239198	15000	302201	288421	0	0	0	1	45087	22609	0	1	0.7	local	22.08					Rice County Community Health Service	LHD	1	27131
MN073		Roseau	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16823	9	2007	"<$500,000"	299045	0	0	0	93056	214077	121021	0	350	5100	0	8500	1140	0	0	69878	2	31069	451	0	1	0.24	local	8.67					Roseau County Home Health Care/LifeCare Public Health	LHD	1	27135
MN011	module 1	Duluth	MN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	199416	1	2007	"$5,000,000-$9,999,999"	5488923	0	1660643	1660643	1374382	2505534	1131152	260371	223062	0	0	15531	19173	804609	0	0	1	195863	82324	0	1	2.4	local	4.25	1	4.47	"50,000+"	St. Louis County Health Department	St. Louis County Health Department	LHD	1	27137
MN059	module 1	Gaylord	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	15926	12	2007	"$1,000,000-$4,999,999"	1525323	0	304186	304186	175419	356110	180691	32890	346319	3670	0	78366	76258	0	0	327524	2	19871	13255	0	1	0.2	local	2.92	1	8.96	"<50,000"	Sibley County Public Health	Sibley County Public Health	LHD	1	27143
MN051	module 2	St. Cloud	MN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	150538	1	2007	"$1,000,000-$4,999,999"	2160339	0	318972	318972	484576	1597463	1112887	0	0	0	47245	0	17508	9025	0	170125	1	139137	60653	0	1	1.4	local	10.75					Stearns County Public Health Division	LHD	1	27145
MN016	module 1	Owatonna	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	37113	1	2008	"$1,000,000-$4,999,999"	1725956	0	433699	433699	215053	624906	409853	30545	412241	47982	93025	44229	38586	0	0	0	2	34740	20771	0	1	0.8	local	8.75	1	6.66	"<50,000"	Steele County Public Health Nursing Service	Steele Community Health Services/Public Health Nursing	LHD	1	27147
MN023		Morris	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	"multi-county, district, region"	19841	1	2008	"$1,000,000-$4,999,999"	1594044	0	276756	276756	175681	464720	289039	0	227627	368344	0	31257	30366	0	0	194974	1	51489	28665	0	1	1.5	local	0.25					Mid-State CHS/Stevens-Traverse-Grant Public Health	LHD	1	27149
MN065	module 2	Long Prairie	MN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25251	1	2007	"$1,000,000-$4,999,999"	2364105	0	231919	231919	193864	526530	332666	0	499821	1007840	5000	11975	29905	51115	0	0	1				1	0.3	local	6.33					Todd County Public Health	LHD	1	27153
MN066		Wabasha	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	23092	12	2007	"$1,000,000-$4,999,999"	1541747	0	369984	369984	221836	404176	182340	0	605200	15000	0	29400	44100	73887	0	0	2	16551	17133	0	1	0.5	local	13.33					Wabasha Community Health Service	LHD	1	27157
MN082		Wadena	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13951	1	2008	"$1,000,000-$4,999,999"	1051023	0	62483	62483	104218	511370	407152	0	258888	63956	15000	0	19861	24362	0	95103	1	14961	13371	0	1	0.29	local	26.33					Wadena County Public Health	LHD	1	27159
MN068	module 3	Waseca	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19953	1	2008	"$500,000-$999,999"	940462	0	82252	82252	105417	306586	201169	0	217356	234761	0	0	26797	47890	0	24820	1	18860	14300	0	1	0.2	local	9.42					Waseca County Public Health Services	LHD	1	27161
MN053		Stillwater	MN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	county	235241	1	2007	"$10,000,000+"	15364693																1	214804	89560	55126	1	1.8	local	3.67					Washington County Department of Public Health and Environment	LHD	1	27163
MN054	module 1	St. James	MN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11283	12	2007	"<$500,000"	452829	0	226373	226373	66639	181456	114817	0	32000	0	0	0	13000	0	0	0	1	18356	13107	0	1	0.6	local	7.42	1	8.96	"<50,000"	Watonwan County Community Health Services	Watonwan County Community Health Services	LHD	1	27165
MN003		Breckenridge	MN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	6999	12	2006	"$500,000-$999,999"	701754	0	259735	259735	105183	147910	42727	81670	104734	20884	0	0	3850	0	0	82971	1	18356	9304	0	1	0.5	local	2.25					Wilkin County Public Health	LHD	1	27167
MN055	module 2	Winona	MN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	51163	12	2007	"$1,000,000-$4,999,999"	3124500	0	340046	340046	1654349	1876391	222042	0	460339	29326	53744	11530	210690	142434	0	0	1	49224	26305	0	1	0.75	local	30.5					Winona Community Health Services Agency	LHD	1	27169
MN056	module 1	Buffalo	MN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	121489	12	2008	"$1,000,000-$4,999,999"	3067926	0	1359000	1359000	369800	639300	269500	838000	80200	5126	4300	65000	77000	0	0	0		105443	47781	26000	1	1.5	local	24.42	1	4.47	"50,000+"	Wright County Human Services	Wright County Human Services	LHD	1	27171
MO001		Kirksville	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24648	1	2008																		3				1	2	local	29.75					Adair County Health Department/Home Health Agency	LHD	1	29001
MO002		Savannah	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	17136	1	2008	"<$500,000"	374000	0	172000	172000		182000		0	1260	13000	0	0	0	0	0	0	3	19505	17151	0	0		local	3.08					Andrew County Health Department	LHD	1	29003
MO003																																											Atchison County Health Department	LHD	1	29005
MO004	module 1	Mexico	MO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	25525	12	2007	"$1,000,000-$4,999,999"	1563860	110195	208183	97988	142400	359240	216840	0	100251	769047	24722	0	42535	0	0	59882	1	22873	17594	0	1	0.5	local	7.5	1	6.66	"<50,000"	Audrain City-County Health Unit	Audrain City County Health Unit	LHD	1	29007
MO005		Cassville	MO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	36298	12	2007	"$500,000-$999,999"	922942	0	280341	280341	57841	345478	287637	0	56036	35571	29630	0	69647	92116	0	14120	1	32081	15311	0	0		local	4.67					Barry County Health Department	LHD	1	29009
MO006	module 1	Lamar	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	13100	12	2007	"$1,000,000-$4,999,999"	1114126	126363	343909	217546	47753	146118	98365	0	68143	547758	0	8196	0	0	0	0	1	21819	0	0	0		local		1	8.96	"<50,000"	Barton County Health Department	Barton County Health Department	LHD	1	29011
MO007																																											Bates County Health Center	LHD	1	29013
MO008		Warsaw	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19119	12	2007	"$1,000,000-$4,999,999"	3486704	0	1112503	1112503	56783	170262	113479	53728	473106	972118	0	0	0	0	0	704987	2	20148	16492	0	1	0.25	local	15.17					Benton County Health Department	LHD	1	29015
MO009		Marble Hill	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12291	1	2007	"$500,000-$999,999"	593339.5	0	297779	297779	65778	212126	146348	0	31105	15672	36044	0	483	0	0	130	2	14376	14676	0	0		local	6.5					Bollinger County Health Department	LHD	1	29017
MO025		Columbia	MO	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	city/county	150922	9	2007	"$5,000,000-$9,999,999"	5001268	1805050	2717058	912008	130464	1206862	1076398	12183	85848	30419	304450	0	176320	174319	0	293809	1	197344	43124	0	1	3	local	9.42					Columbia-Boone County Health Department	LHD	1	29019
MO100	module 1	St. Joseph	MO	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	86100	6	2008	"$1,000,000-$4,999,999"	3810564	2342631	2478418	135787	94732	707711	612979	0	157319	9490	6030	0	320984	124945	0	110474	2	69588	40874	0	1	1.5	local	2.75	1	5.11	"50,000+"	St. Joseph-Buchanan County Health Department	St. Joseph-Buchanan County Health Department	LHD	1	29021
MO011	module 2	Poplar Bluff	MO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40921	12	2008	"$5,000,000-$9,999,999"	5710000																	36400	16500	0		0.3	local	11.42					Butler County Health Department	LHD	1	29023
MO012	module 2	Kingston	MO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9166	12	2007	"<$500,000"	456875.66	0	234270	234270	81629	153763	72134	0	6235	21049	0	0	6138	0	0	35420	1	7719	22301	5341	1	0.5	local	5.92					Caldwell County Health Department	LHD	1	29025
MO013	module 3	Fulton	MO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	43388	1	2008	"<$500,000"	279883																2	0	0	0	1	1	local	4.83					Callaway County Health Department	LHD	1	29027
MO014	module 2	Camdenton	MO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40749	12	2007	"$500,000-$999,999"	806391	0	423131	423131	51254	216347	165093	0	802	27243	0	0	119519	0	0	19349	1	36955	24947	0	1	0.2	local	12.58					Camden County Health Department	LHD	1	29029
MO015		Cape Girardeau	MO	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	71726	12	2007	"$1,000,000-$4,999,999"	2334116.25	22000	977429	955429	280957	690978	410021	0	363322	60344	47367	20883	39780	24470	0	20609	2	78679	32449	0	1	1	local	24.83					Cape Girardeau County Public Health Center	LHD	1	29031
MO016	module 1	Carrollton	MO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	10196	1	2007	"<$500,000"	349214.59	0	134737	134737	50636	124306	73670	0	14540	14963	0	0	9123	0	0	51546	1	11861	11030	0	1	0.15	local	2.83	1	8.96	"<50,000"	Carroll County Health Department	Carroll County Health Department	LHD	1	29033
MO017																																											Carter County Health Center	LHD	1	29035
MO018	module 1	Harrisonville	MO	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	85506	1	2008	"$500,000-$999,999"	789303.31	0	209581	209581	76737	379412	302675	0	4886	0	0	0	0	0	0	199421	1	75092	32009	8601	1	1	local	2.5	1	5.11	"50,000+"	Cass County Health Department	Cass County Health Department	LHD	1	29037
MO115																																											Cedar County Health Department	LHD	1	29039
